Energy (eV),Run #121,Run #122,Run #123,Run #124,Run #125,Run #126,Run #127,Run #128,Run #129,Run #130
-6,1.685,1.686,1.686,1.69,1.703,1.729,1.76,1.767,1.805,1.842
-5.9,1.774,1.784,1.796,1.808,1.823,1.836,1.837,1.842,1.855,1.872
-5.8,1.889,1.883,1.881,1.885,1.894,1.908,1.936,1.988,2.036,2.074
-5.7,1.943,1.946,1.916,1.856,1.762,1.609,1.4,1.189,0.9576,0.7122
-5.6,0.2,0.1782,0.1351,0.08104,0.03214,0.00591,5.845e-06,0,0,0
-5.5,0,0,0,0,0,0,0,0,0,0
-5.4,0,0,0,0,0,0,0,0,0,0
-5.3,0,0,0,0,0,0,0,0,0,0
-5.2,0,0,0,0,0,0,0,0,0,0
-5.1,0,0,0,0,0,0,0,0,0,0
-5,0,0,0,0,0,0,0,0,0,0
-4.9,0,0,0,0,0,0,0,0,0,0
-4.8,0,0,0,0,0,0,0,0,0,0
-4.7,0,0,0,0,0,0,0,0,0,0
-4.6,0,0,0,0,0,0,0,0,0,0
-4.5,0,0,0,0,0,0,0,0,0,0
-4.4,0,0,0,0,0,0,0,0,0,0
-4.3,0,0,0,0,0,0,0,0,0,0
-4.2,0,0,0,0,0,0,0,0,0,0
-4.1,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0
-3.9,0,0,0,0,0,0,0,0,0,0
-3.8,0,0,0,0,0,0,0,0,0,0
-3.7,0,0,0,0,0,0,0,0,0,0
-3.6,0,0,0,0,0,0,0,0,0,0
-3.5,0,0,0,0,0,0,0,0,0,0
-3.4,0,0,0,0,0,0,0,0,0,0
-3.3,0,0,0,0,0,0,0,0,0,0
-3.2,0,0,0,0,0,0,0,0,0,0
-3.1,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0
-2.9,0,0,0,0,0,0,0,0,0,0
-2.8,0,0,0,0,0,0,0,0,0,0
-2.7,0,0,0,0,0,0,0,0,0,0
-2.6,0,0,0,0,0,0,0,0,0,0
-2.5,0,0,0,0,0,0,0,0,0,0
-2.4,0,0,0,0,0,0,0,0,0,0
-2.3,0,0,0,0,0,0,0,0,0,0.0008512
-2.2,0,0,0,0,0,0,0,0.000825,0.003648,0.00807
-2.1,0,0,0,0,0,0.0007197,0.003675,0.008451,0.02544,0.05276
-2,0.005754,0.00588,0.00622,0.00742,0.0115,0.01909,0.04354,0.08411,0.149,0.2642
-1.9,0.2071,0.2058,0.2194,0.252,0.3269,0.4576,0.6838,1.022,1.476,1.589
-1.8,1.344,1.241,1.29,1.592,1.927,2.115,2.163,2.21,2.192,2.162
-1.7,2.641,2.527,2.461,2.456,2.432,2.394,2.297,2.145,2.002,1.889
-1.6,2.634,2.814,2.579,2.308,2.109,1.951,1.814,1.692,1.572,1.461
-1.5,1.718,1.741,1.842,1.838,1.571,1.451,1.342,1.252,1.184,1.127
-1.4,1.337,1.299,1.299,1.354,1.466,1.202,1.114,1.05,0.9949,0.9488
-1.3,1.055,1.031,1.01,1.011,1.063,1.283,1.003,0.928,0.8794,0.8409
-1.2,0.8434,0.8354,0.8321,0.8317,0.8445,0.8805,1.206,0.9179,0.8127,0.7771
-1.1,0.7154,0.7149,0.7183,0.7229,0.7289,0.7413,0.7661,0.8932,0.871,0.7281
-1,0.6338,0.6331,0.6337,0.639,0.6457,0.6534,0.6653,0.6861,0.7275,0.8226
-0.9,0.5646,0.5659,0.5677,0.5711,0.5769,0.584,0.5922,0.6032,0.6212,0.6424
