Energy (eV),Run #1,Run #25,Run #49,Run #73,Run #97
-6,2.029,2.069,0,1.894,2.107
-5.9,1.95,1.395,0,2.111,1.536
-5.8,0.5461,0.002562,0,0.7991,0.0157
-5.7,0,0,0,0,0
-5.6,0,0,0,0,0
-5.5,0,0,0,0,0
-5.4,0,0,0,0,0
-5.3,0,0,0,0,0
-5.2,0,0,0,0,0
-5.1,0,0,0,0,0
-5,0,0,0,0,0
-4.9,0,0,0,0,0
-4.8,0,0,0,0,0
-4.7,0,0,0,0,0
-4.6,0,0,0,0,0
-4.5,0,0,0,0,0
-4.4,0,0,0,0,0
-4.3,0,0,0,0,0
-4.2,0,0,0,0,0
-4.1,0,0,0,0,0
-4,0,0,0,0,0
-3.9,0,0,0,0,0
-3.8,0,0,0,0,0
-3.7,0,0,0,0,0
-3.6,0,0,0,0,0
-3.5,0,0,0,0,0
-3.4,0,0,0,0,0
-3.3,0,0,0.001177,0,0
-3.2,0,0,0.009358,0,0
-3.1,0,0,0.03904,0,0
-3,0,0,0.09582,0,0
-2.9,0,0,0.1454,0,2.186e-05
-2.8,0,0.0004661,0.1919,0,0.002689
-2.7,0,0.009214,0.2343,0.003174,0.01666
-2.6,0.002369,0.05337,0.3087,0.01888,0.07061
-2.5,0.01991,0.2045,0.407,0.08058,0.2196
-2.4,0.1042,0.4329,0.5221,0.1688,0.4358
-2.3,0.2583,0.7325,0.6649,0.2454,0.7001
-2.2,0.6186,1.349,0.7848,0.3629,1.193
-2.1,1.135,1.345,0.8705,0.5878,1.257
-2,1.316,1.298,0.8948,0.8811,1.202
-1.9,1.187,1.155,0.8574,1.199,1.145
-1.8,1.075,1.072,0.7665,1.273,1.011
-1.7,1.017,0.9487,0.6799,1.196,0.9389
-1.6,0.9518,0.7867,0.6553,1.046,0.8781
-1.5,1.029,0.6964,0.6627,0.9596,0.7453
-1.4,0.9755,0.6304,0.727,0.9179,0.6678
-1.3,0.8119,0.5778,0.7626,1.095,0.6069
-1.2,0.7097,0.5308,0.7791,0.8805,0.5575
-1.1,0.6506,0.4884,0.7037,0.8498,0.514
-1,0.606,0.4514,0.6222,0.8482,0.4738
-0.9,0.5746,0.4223,0.5584,0.7124,0.4383
-0.8,0.5684,0.4001,0.5058,0.5987,0.4105
-0.7,0.5805,0.3828,0.4708,0.5172,0.3899
-0.6,0.6169,0.3688,0.4503,0.4596,0.3743
-0.5,0.4776,0.3563,0.4379,0.4115,0.3615
-0.4,0.428,0.3451,0.434,0.3716,0.3504
-0.3,0.3625,0.3357,0.4347,0.3408,0.3408
-0.2,0.3218,0.3289,0.4369,0.3137,0.3335
-0.1,0.2953,0.3252,0.4493,0.2893,0.3291
0,0.2763,0.3245,0.3864,0.2695,0.3278
0.1,0.2537,0.3258,0.3362,0.2515,0.3289
0.2,0.2363,0.3306,0.2835,0.2342,0.3326
0.3,0.2233,0.343,0.2525,0.2171,0.3498
0.4,0.2095,0.3392,0.2639,0.2009,0.3915
