------------------------------------------------------------
 Density of States
------------------------------------------------------------
Energy (eV) (#1), Density of States (#1)
              -5.865,                    0
              -5.765,              0.01802
              -5.665,              0.07209
              -5.565,                0.138
              -5.465,               0.1725
              -5.365,               0.2102
              -5.265,                0.261
              -5.165,               0.2971
              -5.065,               0.2878
              -4.965,               0.3119
              -4.865,               0.3391
              -4.765,               0.3692
              -4.665,               0.4007
              -4.565,               0.4303
              -4.465,               0.4493
              -4.365,               0.4713
              -4.265,               0.4902
              -4.165,               0.5151
              -4.065,               0.5519
              -3.965,               0.5954
              -3.865,               0.6432
              -3.765,               0.6957
              -3.665,               0.8047
              -3.565,               0.9283
              -3.465,               0.9249
              -3.365,                0.857
              -3.265,               0.8377
              -3.165,               0.8204
              -3.065,               0.8055
              -2.965,               0.7861
              -2.865,               0.7586
              -2.765,               0.7459
              -2.665,               0.7244
              -2.565,               0.6916
              -2.465,               0.6349
              -2.365,               0.5485
              -2.265,               0.4396
              -2.165,               0.3392
              -2.065,                0.248
              -1.965,               0.1694
              -1.865,                0.104
              -1.765,              0.05187
              -1.665,              0.01547
              -1.565,               0.0192
              -1.465,              0.05555
              -1.365,               0.1086
              -1.265,               0.1777
              -1.165,               0.2629
              -1.065,               0.3668
              -0.965,               0.4995
              -0.865,               0.6708
              -0.765,               0.9347
              -0.665,                1.247
              -0.565,                1.348
              -0.465,                 1.26
              -0.365,                1.058
              -0.265,               0.9072
              -0.165,               0.8019
              -0.065,               0.7101
               0.035,                0.632
               0.135,               0.5675
               0.235,               0.5215
               0.335,               0.4899
               0.435,               0.4583
               0.535,               0.4271
               0.635,               0.3966
               0.735,               0.3694
               0.835,               0.3462
               0.935,               0.3253
               1.035,               0.3064
               1.135,               0.2896
               1.235,               0.2753
               1.335,               0.2618
               1.435,               0.2486
               1.535,               0.2394
               1.635,               0.2292
               1.735,               0.2182
               1.835,               0.4621
               1.935,               0.9426
               2.035,                1.152
               2.135,                 1.13
               2.235,                1.133
               2.335,                1.142
               2.435,                1.148
               2.535,                1.159
               2.635,                1.358
               2.735,                1.022
               2.835,                1.049
               2.935,                1.103
               3.035,                1.185
               3.135,                1.311
               3.235,                1.518
               3.335,                1.838
               3.435,                1.559
               3.535,                1.494
               3.635,                1.543
               3.735,                1.524
               3.835,                1.417
               3.935,                1.422
               4.035,                1.439
               4.135,                1.394
               4.235,                1.357
               4.335,                1.322
               4.435,                1.283
               4.535,                1.356
               4.635,                1.286
               4.735,                 1.13
               4.835,               0.9432
               4.935,               0.7447
               5.035,               0.6302
               5.135,               0.5349
               5.235,               0.4514
               5.335,               0.3519
               5.435,               0.2995
               5.535,                0.245
               5.635,               0.1885
               5.735,               0.1299
               5.835,              0.06608
               5.935,              0.02225
               6.035,             0.001702
               6.135,                    0
               6.235,                    0
               6.335,                    0
               6.435,                    0
               6.535,                    0
               6.635,                    0
               6.735,              0.01818
               6.835,              0.07614
               6.935,               0.1627
               7.035,               0.1902
               7.135,               0.2245
               7.235,                 0.27
               7.335,               0.3379
               7.435,               0.4074
               7.535,               0.4678
               7.635,               0.5439
               7.735,               0.6645
               7.835,               0.8284
               7.935,                1.032
               8.035,                1.212
               8.135,                1.621
               8.235,                1.915
               8.335,                2.179
               8.435,                2.157
               8.535,                2.054
               8.635,                1.846
               8.735,                 1.54
               8.835,                1.218
               8.935,               0.7825
               9.035,               0.5917
               9.135,                0.614
               9.235,               0.7796
               9.335,               0.9989
               9.435,                1.274
               9.535,                1.746
               9.635,                3.088
               9.735,                2.598
               9.835,                1.805
               9.935,                 1.45

------------------------------------------------------------
 Fermi level
------------------------------------------------------------
Energy (eV) (#1), Density of States (#1)
              6.4805,                    0
              6.4805,                3.088

------------------------------------------------------------
 Density of States
------------------------------------------------------------
Energy (eV) (#2), Density of States (#2)
                  -6,            0.0004115
                -5.9,              0.02572
                -5.8,               0.1857
                -5.7,               0.1515
                -5.6,               0.1898
                -5.5,               0.2375
                -5.4,               0.2948
                -5.3,               0.2945
                -5.2,               0.3108
                -5.1,               0.3405
                  -5,               0.3743
                -4.9,               0.4129
                -4.8,               0.4477
                -4.7,               0.4696
                -4.6,               0.4844
                -4.5,               0.5159
                -4.4,               0.5559
                -4.3,               0.6049
                -4.2,               0.6681
                -4.1,               0.7793
                  -4,               0.8093
                -3.9,                0.895
                -3.8,               0.9362
                -3.7,               0.8745
                -3.6,               0.8697
                -3.5,               0.8986
                -3.4,               0.9142
                -3.3,               0.8749
                -3.2,               0.8876
                -3.1,               0.8958
                  -3,                0.866
                -2.9,               0.8145
                -2.8,               0.7355
                -2.7,               0.6096
                -2.6,                0.443
                -2.5,                0.254
                -2.4,              0.08136
                -2.3,              0.02194
                -2.2,             0.006416
                -2.1,             0.008193
                  -2,              0.02602
                -1.9,              0.04933
                -1.8,              0.08334
                -1.7,               0.1253
                -1.6,               0.1723
                -1.5,               0.2248
                -1.4,               0.2866
                -1.3,               0.3434
                -1.2,                0.389
                -1.1,               0.4294
                  -1,                0.477
                -0.9,               0.5551
                -0.8,               0.6109
                -0.7,               0.7051
                -0.6,               0.8664
                -0.5,               0.9429
                -0.4,               0.9223
                -0.3,                0.872
                -0.2,               0.7957
                -0.1,               0.7256
                   0,               0.6699
                 0.1,               0.6248
                 0.2,                0.646
                 0.3,               0.7517
                 0.4,               0.6291
                 0.5,               0.5156
                 0.6,               0.4513
                 0.7,               0.4204
                 0.8,               0.3925
                 0.9,               0.3697
                   1,                 0.35
                 1.1,               0.3308
                 1.2,               0.3117
                 1.3,               0.2877
                 1.4,               0.2648
                 1.5,               0.2756
